Address,Zip,List Price,Close Price,Subsidy,BRs,Bas,1/2 Bas,Close Date
929 FLORIDA AVE NW #8007,20001," $539,450 "," $525,000 ", $-   ,1,2,0,1/16/2013
40 ADAMS ST NW,20001," $489,900 "," $484,700 "," $12,000 ",3,3,0,1/29/2013
761 HOBART PL NW,20001," $333,000 "," $333,000 "," $5,000 ",3,2,0,1/7/2013
1 U ST NW #A,20001," $539,000 "," $539,000 "," $13,000 ",3,2,1,1/14/2013
1605-1607 7TH ST NW #7,20001," $324,999 "," $325,000 ", $-   ,1,1,0,1/4/2013
1848 8TH ST NW,20001," $585,000 "," $565,000 ", $-   ,3,1,1,1/18/2013
1724 6TH ST NW,20001," $449,900 "," $435,000 ", $960 ,2,1,0,1/16/2013
1539 9TH ST NW #2,20001," $649,850 "," $646,000 "," $15,000 ",2,2,0,1/18/2013
1816 5TH ST NW #3,20001," $475,000 "," $486,000 "," $16,000 ",2,2,0,1/10/2013
1600 8TH ST NW #2,20001," $895,000 "," $878,000 ", $-   ,3,2,1,1/7/2013
24 R ST NW,20001," $809,000 "," $809,000 ", $-   ,5,3,1,1/25/2013
825 EUCLID ST NW,20001," $399,000 "," $350,000 ", $-   ,2,1,0,1/31/2013
15 N ST NW,20001," $375,000 "," $401,500 ", $-   ,3,1,2,1/4/2013
1010 MASSACHUSETTS AVE NW #902,20001," $625,000 "," $615,000 ", $-   ,1,2,0,1/8/2013
1539 9TH ST NW #1,20001," $389,750 "," $385,000 "," $10,000 ",1,2,0,1/16/2013
2819 11TH ST NW #2,20001," $725,000 "," $715,000 ", $-   ,2,2,0,1/3/2013
1616 11TH ST NW #303,20001," $519,900 "," $500,000 ", $-   ,2,2,0,1/28/2013
1002 COLUMBIA RD NW,20001," $575,900 "," $553,900 "," $8,000 ",4,3,1,1/22/2013
1827 1ST ST NW #2,20001," $369,900 "," $359,500 ", $-   ,2,1,1,1/29/2013
910 S ST NW #2,20001," $895,000 "," $895,000 ", $-   ,2,2,1,1/18/2013
440 L ST NW #813,20001," $429,000 "," $415,000 ", $-   ,1,1,0,1/24/2013
1604 3RD ST NW,20001," $649,900 "," $630,500 "," $18,915 ",4,3,1,1/31/2013
1608-/2 MA MARION ST NW,20001," $649,000 "," $691,000 "," $1,000 ",2,2,0,1/4/2013
809 6TH ST NW #45,20001," $434,000 "," $425,000 ", $-   ,2,2,0,1/31/2013
2205 FLAGLER PL NW,20001," $624,900 "," $620,000 "," $18,000 ",3,1,2,1/4/2013
149 W ST NW #14,20001," $279,900 "," $283,900 "," $8,000 ",1,1,0,1/31/2013
763 COLUMBIA RD NW,20001," $619,900 "," $635,000 "," $19,050 ",4,3,1,1/11/2013
440 L ST NW #709,20001," $439,900 "," $432,500 ", $-   ,1,1,0,1/18/2013
811 4TH ST NW #1205,20001," $775,000 "," $765,000 ", $-   ,2,2,0,1/15/2013
135 P ST NW,20001," $749,000 "," $700,000 ", $-   ,4,3,1,1/18/2013
77 P ST NW,20001," $539,500 "," $536,500 "," $16,170 ",2,2,1,1/4/2013
1818 1ST ST NW #1,20001," $549,990 "," $577,750 ", $-   ,3,3,0,1/8/2013
2212 11TH ST NW #3,20001," $599,900 "," $620,000 ", $-   ,2,2,1,1/18/2013
2250 11TH ST NW #403,20001," $669,000 "," $654,900 ", $-   ,2,1,0,1/29/2013
11 R ST NW,20001," $699,000 "," $716,000 "," $9,050 ",3,2,1,1/25/2013
70 RHODE ISLAND AVE NW #403,20001," $299,900 "," $308,000 "," $9,240 ",1,1,0,1/22/2013
437 ELM ST NW,20001," $435,000 "," $440,000 "," $5,000 ",2,1,1,1/31/2013
555 MASSACHUSETTS AVE NW #1212,20001," $389,900 "," $377,000 ", $-   ,1,1,0,1/31/2013
