line,name,address,description,trade_name
"green,yellow",Shaw | Howard Univ,"637 FLORIDA AVE NW, WASHINGTON, DC 20001",Tavern,TBD
"green,yellow",Columbia Heights,"1400 IRVING ST NW, WASHINGTON, DC 20010",Tavern,Acre 121
"green,yellow",Shaw | Howard Univ,"725 T ST NW, WASHINGTON, DC 20001",Tavern,All Souls
"blue, orange",McPherson Sq,"1520 K ST NW, Washington, DC 20005",Nightclub,Archibalds/Fast Eddies Billiards Cafe
"blue, orange",Farragut West,"1720 I ST NW, WASHINGTON, DC 20006",Nightclub,Asia DC
red,Cleveland Park,"3427 CONNECTICUT AVE NW, WASHINGTON, DC 20008",Tavern,Atomic Billiards
"green, yellow",Mt Vernon Sq | 7th St | Convention Cen,"1015 1/2 7TH ST NW, Washington, DC 20001",Tavern,Bar 7
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"1833 14TH ST NW, Washington, DC 20009",Tavern,Bar Pilar
red,Farragut North,"1101 17TH ST NW, Washington, DC 20036",Tavern,Barcode
"blue, orange",Eastern Market,"613 PENNSYLVANIA AVE SE, Washington, DC 20003",Tavern,Barrel
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"1301 U ST NW, WASHINGTON, DC 20009",Tavern,BIN-1301
"red, blue, orange",Metro Center,"518 10TH ST NW, Washington, DC 20004",Tavern,Bistro Doc
"blue, orange",McPherson Sq,"1620 I ST NW, Washington, DC 20006",Tavern,Blackfinn
red,Farragut North,"1001 CONNECTICUT AVE NW, Washington, DC 20036",Nightclub,Bravo Bravo
red,Brookland | CUA,"716 Monroe ST NE, WASHINGTON, DC 20017",Tavern,Brookland Pint
red,Dupont Circle,"1330 19TH ST NW, Washington, DC 20036",Tavern,Buffalo Billiards Corporation
"blue, orange",Farragut West,"1710 H ST NW, WASHINGTON, DC 20006",Tavern,Cafe AKA
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"1847 14TH ST NW, Washington, DC 20009",Tavern,Cafe Saint-Ex
"red, blue, orange",Metro Center,"1100 NEW YORK AVE NW A, Washington, DC 20005",Tavern,Capital City Brewing Company
"blue, orange",McPherson Sq,"1301 K ST NW, Washington, DC 20005",Nightclub,Capitale
"blue, orange",McPherson Sq,"1518 K ST NW, WASHINGTON, DC 20005",Tavern,Catch 15
"blue, orange",Eastern Market,"527 - 529 8TH ST SE, Washington, DC 20003",Tavern,Cava Restaurant
red,Union Station,"50 MASSACHUSETTS AVE NE E, Washington, DC 20002",Tavern,Center Cafe
red,Friendship Heights,"5247 WISCONSIN AVE NW 000C1, Washington, DC 20015",Tavern,Chads Friendship Heights
"green,yellow",Georgia Ave | Petworth,"3813 GEORGIA AVE NW, WASHINGTON, DC 20011",Tavern,Chez Billy
"green,yellow",Shaw | Howard Univ,"639 FLORIDA AVE NW, WASHINGTON, DC 20001",Tavern,Ching
red,Friendship Heights,"5335 WISCONSIN AVE NW, WASHINGTON, DC 20015",Tavern,Civil
red,Cleveland Park,"3421 CONNECTICUT AVE NW, Washington, DC 20008",Tavern,Cleveland Park Bar & Grill
"green,yellow",Shaw | Howard Univ,"1919 9TH ST NW, WASHINGTON, DC 20001",Tavern,Cloud Restaurant & Lounge
red,Friendship Heights,"5300 WISCONSIN AVE NW, Washington, DC 20016",Tavern,Club Cinema
red,Union Station,"50 MASSACHUSETTS AVE NE B, Washington, DC 20002",Tavern,Columbus Club
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"1346 T ST NW, WASHINGTON, DC 20009",Tavern,Compass Rose
"green,yellow",Georgia Ave | Petworth,"3628 GEORGIA AVE NW, WASHINGTON, DC 20010",Tavern,DC Reynolds
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"2005 14TH ST NW, Washington, DC 20009",Tavern,Den of Thieves
red,Judiciary Sq NE Elevator,"600 F ST NW, WASHINGTON, DC 20004",Tavern,Denson
"green,yellow",U St | African Amer Civil | War Mem | Cardozo,"1342 U ST NW, WASHINGTON, DC 20009",Tavern,Desperados Pizza
"green,yellow",Shaw | Howard Univ,"1914 9TH ST NW, Washington, DC 20001",Tavern,Dinos Grotto
"green,yellow",Archives | Navy Mem,"509 7TH ST NW, Washington, DC 20004",Tavern,District Chophouse & Brewery
"green,yellow",Shaw | Howard Univ,"801 FLORIDA AVE NW, WASHINGTON, DC 20001",Tavern,Dunya Restaurant & Lounge
"green,yellow",Shaw | Howard Univ,"1839 - 1841 7TH ST NW, WASHINGTON, DC 20001",Tavern,Eat The Rich/Southern Efficiency
"green,yellow",Georgia Ave | Petworth,"3607 GEORGIA AVE NW, WASHINGTON, DC 20010",Tavern,Eats Place
